port_of_abandonment,port_of_abandonment_updated,port_of_abandonment_updated,lon,ship_count
"Barranquilla, Colombia","Barranquilla, Colombia",11.0101922,-74.8231794,1
"Bartin, Turkey","Bartin, Turkey",41.4947715,32.4354255,1
"Bata, Equatorial Guinea","Bata, Equatorial Guinea",2.0064092,9.9087683,1
"Batam Centre, Indonesia","Batam, Indonesia",1.1317546,104.0554292,1
"Batam, Indonesia","Batam, Indonesia",1.1030815,104.0383696,6
"Batu Ampar, Indonesia","Batu Ampar, Indonesia",1.1695702,104.0106068,1
"Bayonne, France","Bayonne, France",43.4945144,-1.4736657,1
"Beira, Mozambique","Beira, Mozambique",-19.8340679,34.8358075,1
"Beirut, Lebanon","Beirut, Lebanon",33.8892265,35.5025585,1
"Bejaia, Algeria","Bejaia, Algeria",36.7511783,5.0643687,1
"Belawan, Indonesia","Belawan, Indonesia",-0.5791924,114.4500022,1
"Benete, Indonesia","Benete, Indonesia",-8.8962512,116.7716109,1
"Benghazi, Libya","Benghazi, Libya",32.1200168,20.0812174,4
"Berbera Somalia Anchorage, Somalia","Berbera, Somalia",10.432105,44.96172,1
"Berbera, Somalia","Berbera, Somalia",10.4386215,45.0134007,2
"Bhashair Oil Terminal, Sudan","Bhashair Oil Terminal, Sudan",30.1454906936265,48.4881544039985,1
"Bhavnagar, India","Bhavnagar, India",21.7718836,72.1416449,1
"Bilbao, Spain","Bilbao, Spain",43.2630018,-2.9350039,2
"Birkenhead, United Kingdom of Great Britain and Northern Ireland","Birkenhead, England",53.3895177,-3.0248007,1
"Bissau anchorage, Guinea-Bissau","Bissau, Guinea-Bissau",11.8613,-15.5831,1
"Bissau, Guinea-Bissau","Bissau, Guinea-Bissau",11.861324,-15.583055,3
"Bizerte (gounded), Tunisia","Bizerte, Tunisia",37.3086263964186,9.86176857928346,1
"Bizerte, Tunisia","Bizerte, Tunisia",37.2720905,9.8708565,2
"Bluff Jetty (BCI 1) Durban, South Africa","Durban, South Africa",-29.7884696553496,31.0497836144232,1
"Boca Grande II, Venezuela (Bolivarian Republic of)","Boca Grande II, Venezuela",10.4775,-62.8269,1
"Boffa, Guinea","Boffa, Guinea",10.1812281,-14.0377043,2
"Bolnes, Netherlands (Kingdom of the)","Bolnes, Netherlands",51.8917,4.5819,2
"Boma, Democratic Republic of the Congo","Boma, Democratic Republic of the Congo",-5.85,13.05,1
"Bonny, Nigeria","Bonny, Nigeria",4.505781,7.203466,1
"Boulogne/Mer, France","Boulogne-sur-Mer, France",50.7224289,1.6032652,1
"Bremerhaven, Germany","Bremerhaven, Germany",53.5505392,8.5851945,4
"Brest, France","Brest, France",48.3905283,-4.4860088,5
"Brunsbuttel, Germany","Brunsbuttel, Germany",53.8972549,9.1395423,1
"Buragas Port, Bulgaria","Burgas, Bulgaria",42.4896673758493,27.4780219793999,1
"Burgas anchorage, Bulgaria","Burgas, Bulgaria",42.4937,27.4721,2
"Burgas, Bulgaria","Burgas, Bulgaria",42.4936616,27.4721276,5
"Busan Anchorage, Republic of Korea","Busan, Republic of Korea",35.18,129.0752,1
"Busan, Republic of Korea","Busan, Republic of Korea",35.1799528,129.0752365,10
"Bushehr, Iran (Islamic Republic of)","Bushehr, Iran",28.8937,51.3205,18
"CONSTANTA SOUTH AGIGEA, Romania","Constanța South - Agigea, Romania",44.0982512,28.653546,1
"Cadiz, Spain","Cadiz, Spain",36.5297438,-6.2928976,3
