Port of abandonment~lat~long
Doha, Qatar~25.3108807~51.5081812
Donghae, Republic of Korea~37.5245142~129.1146302
Dongyin Island, Taiwan~26.3671921~120.4931522
Douala, Cameroon~4.0429389~9.7062018
Dubai, United Arab Emirates~25.3593799592826~55.325795999517
Duqm, Oman~19.6230411~57.6340004
Durban, South Africa~-29.7884696553496~31.0497836144232
Durres, Albania~41.313255~19.4462348
El Guamache Anchorage, Venezuela~10.8955~-64.0648
Elefsis, Greece~38.0323903~23.4959887
En route to Bartin Port, Türkiye~41.4948~32.4354
Ensenada, Mexico~31.8658887~-116.602983
Eregli, Turkiye, Türkiye~37.5141~34.0473
Esbjerg, Denmark~55.4664892~8.4520751
Essequibo River, Guyana~4.3561036~-58.4785509
Famagusta, Cyprus~35.1205~33.9388
Farasan, Saudi Arabia~16.7379259~41.9079778
Fecamp, France~49.7577729~0.374891
Fort Pierce, Florida, USA~27.4467056~-80.3256056
Fort de France, France~14.6027962~-61.0676724
Frederiksvaerk, Denmark~55.9719082~12.0174311
Freeport, Bahamas~26.535681~-78.6953623
Freetown, Sierra Leone~8.479004~-13.26795
Fujairah, United Arab Emirates~25.4147357~56.2313667
Fuzhou Anchorage, China~26.0775~119.2918
Gabes Port, Tunisia~33.7308154~9.9145145
Gadani, Pakistan~25.1191176~66.732175
Gangavaram, India~13.2351728~78.7511018
Gdynia, Poland~54.5233304~18.6040279
Gebze, Türkiye~40.8006696~29.431767
Genoa, Italy~44.40726~8.9338624
Georgetown, Guyana~6.8033~-58.1455
Ghent, Belgium~51.0538286~3.7250121
Gibraltar, England~51.791921~-0.9022301
Giresun, Türkiye~40.6531617~38.5172032
Gonviales, Haiti~19.4461~-72.6884
Grand Harbour Marina, Valletta, Malta~35.8895458369073~14.5204615059949
Gravendeel, Netherlands~51.7807~4.6199
Great Yarmouth, England~52.6071742~1.7314845
Guam, USA~13.4501175~144.7577088
Guangzhou, China~23.1288~113.259
Guanta, Venezuela~10.2338~-64.5932
Guayaquil, Ecuador~-2.1900572~-79.8868669
Guishan Anchorage, China~29.9873~122.203
Gulluk Anch, Türkiye~38.4695~40.9018
Gunsan Port, Republic of Korea~35.9719471~126.5597569
Hai Long, Vietnam~20.9084~107.0683
Haifa, Israel~32.8191218~34.9983856
Haiphong, Viet Nam~20.8623278~106.6799266
Hakata, Japan~33.5896075~130.4185261
Haldia, India~22.028124~88.0632655
Halifax, Canada~44.648618~-63.5859487
Hamad, Qatar~25.2805177~51.5315501
Hamriyah, United Arab Emirates~25.4597~55.4804
Hansweert, Netherlands~51.4491~4.0037
Harlingen, Netherlands~53.1752~5.4142
Harper, Liberia~4.3789381~-7.7060988
Havana, Cuba~23.135305~-82.3589631
Haydarpasa, Türkiye~40.9961144~29.0190723
Hazira, India~21.0956055~72.6466021
Heraklion Port, Greece~35.3419167~25.1418173
Hereke, Turkey, Türkiye~40.7841~29.6163
Hereke, Türkiye~40.7840847~29.6163185
Hidd, Bahrain~26.2440537~50.6528891
Himeji, Japan~34.8153529~134.6854793
Ho Chi Minh Port, Viet Nam~10.7737~106.7166
Hong Kong, China~22.2818333~114.1582831
Hualien, China~23.9723989~121.6102341
Huelva, Spain~37.2575874~-6.9484945
Huizhou, China~23.1125153~114.4127007
Hulhumale, Maldives~4.2139376~73.5385131
Hydrodinamik, Shipyard, Türkiye~40.8402369887154~29.2686721075567
Ijmuiden, Netherlands~52.4574~4.6116
Ilka Shipyard, Boushehr, Iran~28.8738671095755~50.8456340186391
Incheon, Republic of Korea~37.456~126.7052
Inverkeithing, Scotland~56.0308767~-3.3977498
Iran~36.2665119~59.5999861
Iskenderun, Türkiye~36.5902266~36.1710354
Iskendrun/Antalya, Türkiye~36.6658505030488~36.1916088627477
Istanbul anchorage, Türkiye~41.0064~28.9759
Istanbul, Türkiye~41.006381~28.9758715
Izmail, Ukraine~45.3511307~28.8361514
Izmir, Türkiye~38.4192537~27.128469
Izmit bay, Türkiye~40.732711~29.729106
Izmit, Türkiye~40.7721138~29.9505623
Jabel Ali, United Arab Emirates~25.0160559~55.1378759
Jakarta, Indonesia~-6.1754049~106.827168
Jawaharlal Nehru Port, India~18.9450306~72.949423
Jebel Ali, United Arab Emirates~24.9775987~55.0910742
Jeddah, Saudi Arabia~21.5504432~39.1742363
Jiangyin, China~31.9215518~120.2808847
Johor Anchorage, Malaysia~1.4582~103.7649
Johor Bahru, Malaysia~1.4581986~103.7649059
Jorf Lasfar, Morocco~33.1100029~-8.6311468
Jubail, Saudi Arabia~27.0006968~49.6532161
Kakinada, India~16.9437385~82.2350607
Kaliningrad, Russia~54.7046485~20.4565666
Kalymnos, Greece~37.0025735~26.9923072
Kamsar, Guinea~10.6643896~-14.5833317
Kandla Port, India~23.0047~70.2163
Kandla, India~32.6912634~76.0696792
Kaohsiung, Taiwan~22.6203348~120.3120375
Karachi, Pakistan~24.8546842~67.0207055
Karaikal, India~10.91571~79.8375761
Karasu, Türkiye~39.9325676~40.3501311
Kartal anchorage, Türkiye~40.8886~29.1857
Kartal, Türkiye~40.88858~29.1856536
Kavala, Greece~40.9369224~24.4122766
Kavkaz, Russia~43.1727039~42.6796743
Kawasaki, Japan~35.5306639~139.7037668
Kefken, Türkiye~41.1695412~30.2278862
Kembla, Australia~-32.0677876~149.1181815
Kemi, Finland~65.7333404~24.5666495
Kerch, Ukraine~45.3563405~36.467061
Khalid port, Sharjah, United Arab Emirates~25.3655674~55.3839508
Khalifa Bin Samlan, Bahrain~26.0313927911795~50.5230350657141
Kharg Island, Iran~29.2406~50.3117
Khor Fakkan, United Arab Emirates~25.383725~56.51676
Khorramshahr, Iran~30.4748~48.2429
Kiato, Greece~38.00916~22.7507113
King Abdullah, Saudi Arabia~23.7674471~44.771113
Kingston Bay, Jamaica~17.9712148~-76.7928128
Kish, Iran~26.5361~53.9688
Klang Bunkering Anchorage, Malaysia~2.7962825~101.2953
Kokkola, Finland~63.8391421~23.1336845
Kolkata, India~22.5726459~88.3638953
Konta, Papua New Guinea~-6.7302~147.0008
Koper, Slovenia~45.5479864~13.7304781
Korsoer, Denmark~55.3266045~11.1425876
Kota Kinabalu, Malaysia~6.0798611~116.1522972
Kuantan Anchorage, Malaysia~3.7974~103.3219
Kuching, Malaysia~1.5597561~110.345397
Kumkapi Anchorage, Türkiye~40.9919~28.7712
Kunsan, Republic of Korea~35.9679984~126.7369036
La Coruna, Spain~43.3466447~-8.4127029
La Guaira, Venezuela~10.5803~-66.8603
La Plata, Argentina~-34.9206797~-57.9537638
La Rochelle, France~46.159732~-1.1515951
La Spezia, Italy~44.238366~9.6912326
Labuan, Malaysia~5.3168336~115.2198613
Lagos, Nigeria~6.4550575~3.3941795
Larnaca, Cyprus~34.9236095~33.6236184
Las Calderas, Dominican Republic~18.2188817~-70.4919571
Las Palmas, Spain~28.0744~-15.4514
Latakia, Syrian Arab Republic~35.579874~35.9772699
Lavrio, Greece~37.7142551~24.0548015
Lengeh, Iran~26.5621~54.8838
Limbe, Cameroon~4.0103~9.2071
Liverpool, England~53.3933411~-2.9166389
Lome, Togo~6.130419~1.215829
Lorient, France~47.7477336~-3.3660907
Luanda, Angola~-8.8272699~13.2439512
Luba, Equatorial Guinea~3.459841~8.5544476
Luoyuan, China~26.4929647~119.5448198
Lyngstad, Norway~62.9615604~7.3703856
MBM Port, Albania~41.3785088~19.4292071
Macapa Anchorage, Brazil~0.0402~-51.057
Macaé, Brazil~-22.3712958~-41.7866922
Majishan, China~30.6818681~122.4121235
Makassar, Indonesia~-5.1342962~119.4124282
Makulla, Yemen~14.5408713010146~49.1269037021153
Malabo, Equatorial Guinea~3.741877~8.7740663
Malacca, Malaysia~2.3293744~102.2880962
Malaga, Spain~36.7647913~-4.4422005
Malaysia~4.5693754~102.2656823
Malaysia, Malaysia~5.2266~100.4505
Male, Maldives~4.1779879~73.5107387
Malindi, Kenya~-3.2295935~39.9750882
Malta Anchorages, Malta~35.9311442~14.3951627
Mangalore, India~12.8698101~74.8430082
Manila, Philippines~14.6861988390267~120.955788410253
Manzanillo/Coco Solo, Panama~9.3667144000163~-79.8816234691905
